FECHA,HORA,AJM,BJU,CAM,FAR,GAM,HGM,INN,MER,MGH,MPA,PED,SAC,SAG,SFE,TLA,UIZ,XAL
3/10/2024,20,14,-99,20,-99,-99,-99,-99,18,-99,-99,8,-99,-99,-99,31,-99,-99
3/10/2024,21,12,-99,27,-99,-99,-99,-99,25,-99,-99,10,-99,-99,-99,44,-99,-99
3/10/2024,22,14,-99,31,-99,-99,-99,-99,25,-99,-99,15,-99,-99,-99,-99,-99,-99
3/10/2024,23,15,-99,23,-99,-99,-99,-99,31,-99,-99,16,-99,-99,-99,25,-99,-99
3/10/2024,24,13,-99,15,-99,-99,-99,-99,20,-99,-99,12,-99,-99,-99,19,-99,-99
4/10/2024,1,11,-99,12,-99,-99,-99,-99,13,-99,-99,9,-99,-99,-99,15,-99,-99
4/10/2024,2,10,-99,10,-99,-99,-99,-99,17,-99,-99,6,-99,-99,-99,11,-99,-99
4/10/2024,3,6,-99,10,-99,-99,-99,-99,13,-99,-99,5,-99,-99,-99,9,-99,-99
4/10/2024,4,4,-99,10,-99,-99,-99,-99,8,-99,-99,4,-99,-99,-99,8,-99,-99
4/10/2024,5,4,-99,9,-99,-99,-99,-99,11,-99,-99,4,-99,-99,-99,12,-99,-99
4/10/2024,6,5,-99,18,-99,-99,-99,-99,12,-99,-99,4,-99,-99,-99,23,-99,-99
4/10/2024,7,5,-99,21,-99,-99,-99,-99,14,-99,-99,7,-99,-99,-99,34,-99,-99
4/10/2024,8,5,-99,28,-99,-99,-99,-99,26,-99,-99,10,-99,-99,-99,36,-99,-99
4/10/2024,9,7,-99,30,-99,-99,-99,-99,27,-99,-99,8,-99,-99,-99,46,-99,-99
4/10/2024,10,6,-99,35,-99,-99,-99,-99,26,-99,-99,10,-99,-99,-99,78,-99,-99
4/10/2024,11,10,-99,33,-99,-99,-99,-99,31,-99,-99,9,-99,-99,-99,55,-99,-99
4/10/2024,12,8,-99,28,-99,-99,-99,-99,28,-99,-99,9,-99,-99,-99,28,-99,-99
4/10/2024,13,7,-99,24,-99,-99,-99,-99,22,-99,-99,17,-99,-99,-99,30,-99,-99
4/10/2024,14,15,-99,21,-99,-99,-99,-99,15,-99,-99,21,-99,-99,-99,-99,-99,-99
4/10/2024,15,20,-99,20,-99,-99,-99,-99,18,-99,-99,18,-99,-99,-99,33,-99,-99
4/10/2024,16,17,-99,16,-99,-99,-99,-99,18,-99,-99,17,-99,-99,-99,39,-99,-99
4/10/2024,17,15,-99,23,-99,-99,-99,-99,19,-99,-99,14,-99,-99,-99,27,-99,-99
4/10/2024,18,14,-99,20,-99,-99,-99,-99,19,-99,-99,14,-99,-99,-99,24,-99,-99
4/10/2024,19,13,-99,-99,-99,-99,-99,-99,16,-99,-99,11,-99,-99,-99,27,-99,-99
4/10/2024,20,10,-99,30,-99,-99,-99,-99,13,-99,-99,9,-99,-99,-99,48,-99,-99
4/10/2024,21,10,-99,12,-99,-99,-99,-99,6,-99,-99,11,-99,-99,-99,28,-99,-99
4/10/2024,22,9,-99,8,-99,-99,-99,-99,6,-99,-99,11,-99,-99,-99,30,-99,-99
4/10/2024,23,7,-99,14,-99,-99,-99,-99,6,-99,-99,10,-99,-99,-99,25,-99,-99
4/10/2024,24,8,-99,12,-99,-99,-99,-99,8,-99,-99,9,-99,-99,-99,23,-99,-99
5/10/2024,1,9,-99,10,-99,-99,-99,-99,9,-99,-99,9,-99,-99,-99,18,-99,-99
5/10/2024,2,8,-99,11,-99,-99,-99,-99,14,-99,-99,8,-99,-99,-99,16,-99,-99
5/10/2024,3,8,-99,12,-99,-99,-99,-99,11,-99,-99,7,-99,-99,-99,16,-99,-99
5/10/2024,4,7,-99,12,-99,-99,-99,-99,8,-99,-99,7,-99,-99,-99,10,-99,-99
5/10/2024,5,8,-99,16,-99,-99,-99,-99,12,-99,-99,7,-99,-99,-99,10,-99,-99
5/10/2024,6,8,-99,20,-99,-99,-99,-99,20,-99,-99,7,-99,-99,-99,16,-99,-99
5/10/2024,7,8,-99,12,-99,-99,-99,-99,16,-99,-99,7,-99,-99,-99,20,-99,-99
5/10/2024,8,9,-99,15,-99,-99,-99,-99,11,-99,-99,9,-99,-99,-99,35,-99,-99
5/10/2024,9,9,-99,23,-99,-99,-99,-99,15,-99,-99,11,-99,-99,-99,45,-99,-99
5/10/2024,10,8,-99,25,-99,-99,-99,-99,18,-99,-99,12,-99,-99,-99,45,-99,-99
5/10/2024,11,7,-99,23,-99,-99,-99,-99,19,-99,-99,11,-99,-99,-99,34,-99,-99
5/10/2024,12,7,-99,21,-99,-99,-99,-99,18,-99,-99,9,-99,-99,-99,28,-99,-99
5/10/2024,13,6,-99,19,-99,-99,-99,-99,15,-99,-99,10,-99,-99,-99,31,-99,-99
5/10/2024,14,9,-99,21,-99,-99,-99,-99,20,-99,-99,10,-99,-99,-99,33,-99,-99
5/10/2024,15,7,-99,18,-99,-99,-99,-99,16,-99,-99,10,-99,-99,-99,38,-99,-99
5/10/2024,16,4,-99,14,-99,-99,-99,-99,11,-99,-99,6,-99,-99,-99,33,-99,-99
5/10/2024,17,4,-99,12,-99,-99,-99,-99,12,-99,-99,5,-99,-99,-99,20,-99,-99
5/10/2024,18,3,-99,13,-99,-99,-99,-99,10,-99,-99,3,-99,-99,-99,28,-99,-99
5/10/2024,19,2,-99,7,-99,-99,-99,-99,5,-99,-99,3,-99,-99,-99,30,-99,-99
5/10/2024,20,2,-99,4,-99,-99,-99,-99,3,-99,-99,3,-99,-99,-99,10,-99,-99
5/10/2024,21,3,-99,4,-99,-99,-99,-99,3,-99,-99,3,-99,-99,-99,6,-99,-99
5/10/2024,22,4,-99,6,-99,-99,-99,-99,5,-99,-99,3,-99,-99,-99,6,-99,-99
5/10/2024,23,4,-99,4,-99,-99,-99,-99,5,-99,-99,4,-99,-99,-99,9,-99,-99
5/10/2024,24,3,-99,3,-99,-99,-99,-99,2,-99,-99,3,-99,-99,-99,5,-99,-99
6/10/2024,1,3,-99,3,-99,-99,-99,-99,3,-99,-99,2,-99,-99,-99,3,-99,-99
6/10/2024,2,4,-99,5,-99,-99,-99,-99,2,-99,-99,1,-99,-99,-99,3,-99,-99
6/10/2024,3,3,-99,1,-99,-99,-99,-99,2,-99,-99,1,-99,-99,-99,2,-99,-99
6/10/2024,4,2,-99,1,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,2,-99,-99
6/10/2024,5,1,-99,2,-99,-99,-99,-99,1,-99,-99,1,-99,-99,-99,3,-99,-99
6/10/2024,6,1,-99,5,-99,-99,-99,-99,2,-99,-99,1,-99,-99,-99,1,-99,-99
6/10/2024,7,2,-99,2,-99,-99,-99,-99,2,-99,-99,1,-99,-99,-99,3,-99,-99
6/10/2024,8,2,-99,3,-99,-99,-99,-99,1,-99,-99,1,-99,-99,-99,4,-99,-99
6/10/2024,9,2,-99,4,-99,-99,-99,-99,2,-99,-99,2,-99,-99,-99,11,-99,-99
6/10/2024,10,2,-99,3,-99,-99,-99,-99,2,-99,-99,2,-99,-99,-99,10,-99,-99
6/10/2024,11,2,-99,3,-99,-99,-99,-99,3,-99,-99,3,-99,-99,-99,10,-99,-99
6/10/2024,12,2,-99,5,-99,-99,-99,-99,4,-99,-99,2,-99,-99,-99,10,-99,-99
6/10/2024,13,2,-99,6,-99,-99,-99,-99,5,-99,-99,3,-99,-99,-99,8,-99,-99
6/10/2024,14,5,-99,8,-99,-99,-99,-99,8,-99,-99,3,-99,-99,-99,11,-99,-99
6/10/2024,15,3,-99,8,-99,-99,-99,-99,7,-99,-99,4,-99,-99,-99,9,-99,-99
6/10/2024,16,4,-99,5,-99,-99,-99,-99,7,-99,-99,5,-99,-99,-99,5,-99,-99
6/10/2024,17,4,-99,7,-99,-99,-99,-99,7,-99,-99,3,-99,-99,-99,-99,-99,-99
6/10/2024,18,3,-99,7,-99,-99,-99,-99,9,-99,-99,3,-99,-99,-99,12,-99,-99
6/10/2024,19,4,-99,7,-99,-99,-99,-99,6,-99,-99,3,-99,-99,-99,10,-99,-99
6/10/2024,20,3,-99,-99,-99,-99,-99,-99,5,-99,-99,3,-99,-99,-99,14,-99,-99
6/10/2024,21,4,-99,3,-99,-99,-99,-99,5,-99,-99,3,-99,-99,-99,11,-99,-99
6/10/2024,22,2,-99,3,-99,-99,-99,-99,4,-99,-99,2,-99,-99,-99,9,-99,-99
6/10/2024,23,3,-99,4,-99,-99,-99,-99,5,-99,-99,2,-99,-99,-99,11,-99,-99
6/10/2024,24,3,-99,3,-99,-99,-99,-99,5,-99,-99,2,-99,-99,-99,6,-99,-99
7/10/2024,1,2,-99,4,-99,-99,-99,-99,4,-99,-99,2,-99,-99,-99,-99,-99,-99
7/10/2024,2,2,-99,3,-99,-99,-99,-99,5,-99,-99,2,-99,-99,-99,-99,-99,-99
7/10/2024,3,2,-99,3,-99,-99,-99,-99,4,-99,-99,2,-99,-99,-99,-99,-99,-99
7/10/2024,4,2,-99,3,-99,-99,-99,-99,1,-99,-99,2,-99,-99,-99,5,-99,-99
7/10/2024,5,2,-99,4,-99,-99,-99,-99,3,-99,-99,2,-99,-99,-99,5,-99,-99
7/10/2024,6,2,-99,2,-99,-99,-99,-99,3,-99,-99,2,-99,-99,-99,3,-99,-99
7/10/2024,7,3,-99,5,-99,-99,-99,-99,6,-99,-99,3,-99,-99,-99,11,-99,-99
7/10/2024,8,2,-99,7,-99,-99,-99,-99,6,-99,-99,3,-99,-99,-99,23,-99,-99
7/10/2024,9,3,-99,14,-99,-99,-99,-99,8,-99,-99,3,-99,-99,-99,21,-99,-99
7/10/2024,10,2,-99,10,-99,-99,-99,-99,8,-99,-99,3,-99,-99,-99,21,-99,-99
7/10/2024,11,2,-99,11,-99,-99,-99,-99,7,-99,-99,4,-99,-99,-99,23,-99,-99
7/10/2024,12,5,-99,-99,-99,-99,-99,-99,10,-99,-99,5,-99,-99,-99,21,-99,-99
7/10/2024,13,5,-99,-99,-99,-99,-99,-99,8,-99,-99,10,-99,-99,-99,18,-99,-99
7/10/2024,14,11,-99,-99,-99,-99,-99,-99,7,-99,-99,12,-99,-99,-99,13,-99,-99
7/10/2024,15,9,-99,-99,-99,-99,-99,-99,10,-99,-99,9,-99,-99,-99,19,-99,-99
7/10/2024,16,9,-99,-99,-99,-99,-99,-99,8,-99,-99,11,-99,-99,-99,16,-99,-99
7/10/2024,17,8,-99,-99,-99,-99,-99,-99,14,-99,-99,11,-99,-99,-99,20,-99,-99
7/10/2024,18,8,-99,25,-99,-99,-99,-99,18,-99,-99,10,-99,-99,-99,-99,-99,-99
7/10/2024,19,5,-99,30,-99,-99,-99,-99,22,-99,-99,6,-99,-99,-99,-99,-99,-99
